# ----------------------------------------
# 发掘潜在客户概览
# 账号：pixelcircle
# 媒体资源：pixelcircle.online
# ----------------------------------------
#  
# 开始日期：20260730
# 结束日期：20260826
第 N 天,新用户数
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,6
0026,1
0027,5

# 开始日期：20260730
# 结束日期：20260826
第 N 天,回访用户数
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,1

# 开始日期：20260730
# 结束日期：20260826
第 N 天,符合条件的潜在客户
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0

# 开始日期：20260730
# 结束日期：20260826
第 N 天,完成转化的潜在客户
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0

#  
# 开始日期：20260730
# 结束日期：20260826
平台,关键事件数


#  
# 开始日期：20260730
# 结束日期：20260826
带来用户首次互动的主渠道组（默认渠道组）,新用户数
Direct,12

# 您在留住用户方面取得的成效如何？
# 开始日期：20260712
# 结束日期：20260822
日期,第 0 周,第 1 周,第 2 周,第 3 周,第 4 周,第 5 周
7月12日 - 7月18日,0,0,0,0,0,0
7月19日 - 7月25日,0,0,0,0,0,-1
7月26日 - 8月1日,0,0,0,0,-1,-1
8月2日 - 8月8日,0,0,0,-1,-1,-1
8月9日 - 8月15日,0,0,-1,-1,-1,-1
8月16日 - 8月22日,0,-1,-1,-1,-1,-1

#  
# 开始日期：20260730
# 结束日期：20260826
受众群体名称,活跃用户
All Users,11

#  
# 开始日期：20260730
# 结束日期：20260826
城市,活跃用户
Council Bluffs,2
Chengdu,1
Shenzhen,1
Surat,1

#  
# 开始日期：20260730
# 结束日期：20260826
带来会话的手动创建的来源,会话数


#  
# 开始日期：20260730
# 结束日期：20260826
第 N 天
